Name,Department,CGPA,Contact Number,College Email,B.Tech Score,Interest Area
Nancy Jordan,CE,6,9926846981,nancy34@college.edu,53,IoT
Eric Pugh,CE,8,8135805061,eric38@college.edu,66,Cybersecurity
Jason Stanton,IT,10,7741252051,jason84@college.edu,98,Cybersecurity
Michael Lopez,IT,8,6307143850,michael31@college.edu,99,AI
Shannon Reese,ME,8,8707953652,shannon13@college.edu,75,Data Science
Christopher Gonzalez,ME,8,7067359044,christopher26@college.edu,56,Cybersecurity
Christopher Martinez,CE,7,9093378102,christopher59@college.edu,57,ML
Katherine Patterson,IT,7,8812451422,katherine22@college.edu,62,Data Science
Janet Greene,CE,9,8458203599,janet23@college.edu,95,Cloud Computing
William Contreras,CE,7,9141699914,william19@college.edu,74,IoT
Taylor Anderson,IT,6,9177672247,taylor90@college.edu,57,AI
Roger Best,IT,6,7437401479,roger47@college.edu,61,Cybersecurity
Jeffrey Strickland,CE,6,8765776918,jeffrey24@college.edu,74,Cybersecurity
Dana Perkins,ECE,8,8191852536,dana16@college.edu,65,IoT
Daniel Gaines,CSE,8,9291945219,daniel79@college.edu,72,Cloud Computing
Terri Ferguson,IT,7,7512364999,terri28@college.edu,72,Data Science
Holly Boone,ME,8,8691091073,holly25@college.edu,57,ML
Claire Campbell,CSE,10,6135144817,claire60@college.edu,90,AI
Anna Watts,CSE,6,7623228642,anna51@college.edu,77,ML
Hannah Webb,ME,8,8323666985,hannah75@college.edu,87,Data Science
Carrie Norris,IT,10,8248310626,carrie61@college.edu,54,Cloud Computing
Patrick Hampton,ME,10,6488448458,patrick76@college.edu,95,IoT
Tina Wilson,ME,6,6829286307,tina27@college.edu,98,ML
William Edwards,IT,8,8219608086,william16@college.edu,84,Cybersecurity
Terry Callahan,CSE,10,8525234899,terry41@college.edu,50,AI
Brian Williams,ECE,7,9479579042,brian27@college.edu,65,Cloud Computing
Shelby Coleman,CSE,10,8135313130,shelby34@college.edu,56,AI
Stephen Conley,ECE,6,9778068272,stephen77@college.edu,50,Cloud Computing
Ashley Petty DDS,IT,7,7289308948,ashley60@college.edu,67,Data Science
Zachary Martinez,ME,6,7740926341,zachary51@college.edu,88,IoT
Cody Rose DDS,ECE,10,8586819745,cody24@college.edu,65,Cloud Computing
Sharon Valenzuela,CE,6,8281280247,sharon32@college.edu,99,ML
Matthew Compton,ECE,10,9952644556,matthew66@college.edu,56,IoT
Daniel Adams,CE,10,6054461778,daniel16@college.edu,98,IoT
John Williamson,IT,9,7301077895,john75@college.edu,97,Cybersecurity
Alyssa Murphy,CE,10,7973299372,alyssa95@college.edu,76,ML
Heather Gutierrez,ECE,7,8594127004,heather33@college.edu,87,Data Science
Kylie Carpenter,ECE,10,9929093443,kylie19@college.edu,66,ML
Karen King,IT,8,9041811528,karen68@college.edu,67,Cybersecurity
Alexandra Burns,IT,6,8175140488,alexandra79@college.edu,97,Cloud Computing
Adam Wood,ME,8,9967637126,adam57@college.edu,57,Cybersecurity
Kevin Spencer,CSE,8,7656970420,kevin48@college.edu,93,AI
James Ramirez,CSE,7,8361729406,james17@college.edu,94,Cybersecurity
Carrie Johnson,CSE,8,6705677808,carrie18@college.edu,98,Cloud Computing
Jennifer Webb,ME,9,6431424540,jennifer80@college.edu,72,Data Science
Lisa Jackson,CE,8,9163905973,lisa85@college.edu,62,Cybersecurity
Charlotte Mitchell,ME,8,7553695365,charlotte18@college.edu,86,ML
Ashley Spencer,CSE,7,9751446805,ashley54@college.edu,90,Cybersecurity
Alan Richards,CE,8,6463416487,alan98@college.edu,53,Data Science
Michelle Higgins,CSE,8,8012205219,michelle89@college.edu,77,Cloud Computing
Melissa Johnson,ME,8,8439311186,melissa70@college.edu,70,ML
Jesse Lambert,CSE,6,8240467481,jesse32@college.edu,70,Data Science
Barry Dorsey,CE,10,9678657512,barry30@college.edu,88,AI
Leah Martin,CSE,7,8742629216,leah20@college.edu,64,Cybersecurity
Angela Schaefer,ECE,7,9939611730,angela54@college.edu,51,Cloud Computing
Jasmine Evans,IT,9,7827712034,jasmine96@college.edu,51,Data Science
Matthew Moore,IT,10,9949784500,matthew37@college.edu,93,Cloud Computing
Francisco Benjamin,IT,7,9630651215,francisco89@college.edu,78,IoT
Andrew Ashley,IT,8,7093010883,andrew26@college.edu,85,IoT
Daisy Waters,CE,9,8337368232,daisy35@college.edu,51,Data Science
Molly Johnson,IT,9,6789729631,molly20@college.edu,54,IoT
Jeanne Sanchez,ME,7,8229094596,jeanne54@college.edu,81,IoT
Jessica Finley,ME,7,8207338951,jessica53@college.edu,55,Cloud Computing
Julian Benson,ME,6,7675370054,julian59@college.edu,79,AI
Jesse Garcia,ECE,7,6897802238,jesse59@college.edu,59,IoT
Raven Arias MD,IT,10,6271013561,raven34@college.edu,96,ML
Mr. Robert Webster,ECE,6,8675437647,mr.78@college.edu,95,ML
Tina Smith,ECE,6,8342698918,tina46@college.edu,81,IoT
William Diaz,CSE,10,9203639675,william79@college.edu,52,Data Science
Brandon Pace,ECE,6,8353507823,brandon70@college.edu,62,AI
Jennifer Spencer,CSE,7,9850646115,jennifer38@college.edu,74,AI
Shawn Espinoza,IT,6,8930551459,shawn37@college.edu,85,Cloud Computing
Tracey Martin,ME,10,6786564897,tracey71@college.edu,58,Cybersecurity
David Kane,ME,6,7060802667,david94@college.edu,100,AI
Xavier Mcconnell,CE,8,8358900216,xavier27@college.edu,68,IoT
Eric Warner,IT,7,8393726268,eric54@college.edu,66,ML
William Hardin,CE,7,7851707686,william68@college.edu,99,ML
Douglas Pena,IT,9,6560737539,douglas49@college.edu,100,AI
Omar Bell,ECE,8,9257834723,omar53@college.edu,91,AI
Jacob Madden,ECE,9,6425955345,jacob96@college.edu,92,Cloud Computing
Jeremy Moore,ME,6,9411352924,jeremy43@college.edu,88,Cybersecurity
Shelia Riley,ME,8,6748815228,shelia22@college.edu,100,AI
Heather Myers,IT,6,7611109908,heather41@college.edu,54,Cybersecurity
Michael Hoover,ME,6,7203872338,michael36@college.edu,98,AI
William Gonzalez,CSE,6,8990749435,william42@college.edu,79,Cybersecurity
Michelle Giles,CE,6,7638784642,michelle93@college.edu,94,IoT
Erica Ruiz MD,IT,10,9206570915,erica50@college.edu,99,ML
Zoe White,CE,7,6318276366,zoe91@college.edu,72,IoT
Heidi Huerta,ECE,6,9495163858,heidi95@college.edu,66,Cybersecurity
Maria Williams,ME,9,6979447344,maria12@college.edu,61,ML
Billy Carroll,CE,9,7202553227,billy68@college.edu,69,Data Science
Cynthia Scott,CSE,6,7458252814,cynthia86@college.edu,60,ML
Jeremy Callahan,ME,6,6673644832,jeremy88@college.edu,52,IoT
Brenda Cruz,ECE,6,7776066314,brenda86@college.edu,63,Data Science
Tracy Powell,ECE,6,7890885543,tracy89@college.edu,57,Cybersecurity
Shane Wagner,CE,8,6856137528,shane44@college.edu,98,Data Science
Darrell Garcia,CE,8,7610585535,darrell50@college.edu,79,Cloud Computing
Gary Bates,CSE,8,7869701140,gary92@college.edu,62,ML
Kristen Lee,ME,10,8804856662,kristen94@college.edu,71,Data Science
Roberto Mendoza,CSE,9,6408036310,roberto38@college.edu,90,Data Science
Anthony Gibson,ME,8,6706546925,anthony63@college.edu,96,Data Science
Kristy Campbell,IT,8,8928428590,kristy93@college.edu,85,ML
Robert Stevens,CE,6,7650183429,robert61@college.edu,92,AI
Stephanie Martin,ME,6,9088177963,stephanie51@college.edu,75,Data Science
Kenneth Shannon,ECE,7,9227009107,kenneth84@college.edu,50,Cybersecurity
Alicia Powell,CE,8,8314514438,alicia12@college.edu,70,Data Science
Rachel Leonard,CSE,6,9902987693,rachel47@college.edu,62,IoT
Amy Robinson,ME,7,8842925113,amy54@college.edu,93,AI
Michelle Clements,ME,9,7641200209,michelle49@college.edu,57,IoT
Christopher Jones,IT,8,7352728361,christopher94@college.edu,87,IoT
